data_year,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3,checked_cars,driven_avg,driven_med
2019,2008,Skoda,OCTAVIA,19.47,Jousitus ja iskunvaimennus,Etuakselisto,Käyttöjarru,5450,260000,257000
2019,2008,Skoda,ROOMSTER,25.33,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Etuakselisto,450,206000,191000
2019,2008,Skoda,SUPERB,20.0,Jousitus ja iskunvaimennus,Etuakselisto,Renkaat ja vanteet,415,261000,257000
2019,2008,Smart,FORTWO,11.82,,,,110,93000,89000
2019,2008,Subaru,FORESTER,21.8,Taka-akselisto,Etuakselisto,Käyttöjarru,422,206000,206000
2019,2008,Subaru,IMPREZA,20.2,Taka-akselisto,Käyttöjarru,Bensiinimoottorin pakokaasumittaus,188,160000,158000
2019,2008,Subaru,LEGACY,17.84,Etuakselisto,Käyttöjarru,Jousitus ja iskunvaimennus,454,251000,247000
2019,2008,Suzuki,GRAND VITARA,14.57,Taka-akselisto,,,247,195000,191000
2019,2008,Suzuki,SWIFT,17.58,Etuakselisto,,,330,124000,118000
2019,2008,Suzuki,SX4,19.84,Etuakselisto,Jousitus ja iskunvaimennus,,378,149000,144000
2019,2008,Toyota,AURIS,11.49,Seisontajarrun dynamometritesti,Käyttöjarru,Käyttöjarrun dynamometritesti,3465,165000,155000
2019,2008,Toyota,AVENSIS,14.55,Seisontajarrun dynamometritesti,Käyttöjarru,Etuakselisto,3719,226000,215000
2019,2008,Toyota,AYGO,17.16,Etuakselisto,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,647,118000,110000
2019,2008,Toyota,COROLLA,8.55,Käyttöjarru,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,3265,168000,158000
2019,2008,Toyota,COROLLA VERSO,14.39,Käyttöjarru,Seisontajarrun dynamometritesti,Dieselmoottorin pakokaasumittaus,1682,229000,219000
2019,2008,Toyota,HIACE,28.56,Jousitus ja iskunvaimennus,Etuakselisto,,126,377000,373000
2019,2008,Toyota,LAND CRUISER,8.85,Seisontajarrun dynamometritesti,,,418,293000,270000
2019,2008,Toyota,PRIUS,13.6,Käyttöjarru,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),772,191000,183000
2019,2008,Toyota,RAV4,13.94,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus,961,221000,211000
2019,2008,Toyota,YARIS,16.6,Jousitus ja iskunvaimennus,Taka-akselisto,,3254,143000,133000
2019,2008,Volkswagen,CADDY,21.4,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Käyttöjarru,458,241000,232000
2019,2008,Volkswagen,CARAVELLE,18.48,,,,119,207000,191000
2019,2008,Volkswagen,CC,14.37,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),,327,204000,196000
2019,2008,Volkswagen,GOLF,21.44,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Alustan kotelot ja pohjalevy,6062,211000,202000
2019,2008,Volkswagen,GOLF PLUS,13.1,Bensiinimoottorin pakokaasumittaus,Käyttöjarrun dynamometritesti,Käyttöjarru,641,157000,150000
2019,2008,Volkswagen,JETTA,20.77,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti,1223,216000,208000
2019,2008,Volkswagen,PASSAT,20.34,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus,3963,272000,270000
2019,2008,Volkswagen,POLO,19.72,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,Etuakselisto,1278,140000,127000
2019,2008,Volkswagen,TIGUAN,14.94,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),Etuakselisto,1205,229000,222000
2019,2008,Volkswagen,TOURAN,25.11,Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,1095,239000,234000
2019,2008,Volkswagen,TRANSPORTER,34.4,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,308,394000,433000
2019,2008,Volvo,C30,20.69,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet,469,172000,158000
2019,2008,Volvo,S40,24.14,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,1044,188000,187000
2019,2008,Volvo,S60,27.14,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Etuakselisto,899,232000,226000
2019,2008,Volvo,S80,18.8,Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot,Taka-akselisto,761,275000,261000
2019,2008,Volvo,V50,27.11,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,2457,229000,229000
