Käyttöönottovuosi,Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2010,Citroen,C4,13.7,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
2010,Peugeot,308,14.5,Etuakselisto,Käyttöjarru,Dieselmoottorin pakokaasumittaus
2010,Hyundai,IX35,15.2,Jousitus ja iskunvaimennus,Käyttöjarru,Etuakselisto
2010,Peugeot,5008,16.9,Etuakselisto,Renkaat ja vanteet,Käyttöjarru
2010,Kia,SORENTO,17.0,Seisontajarrun dynamometritesti,Etuakselisto,Jousitus ja iskunvaimennus
2010,Fiat,PANDA,17.5,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
2010,Peugeot,3008,17.7,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
2010,Citroen,C5,17.8,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
2010,Alfa Romeo,MITO,18.9,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),Ohjausnivelet ja -tangot
2010,Ford,TRANSIT,20.0,,,
2010,Dacia,SANDERO,20.5,Ohjausnivelet ja -tangot,Lähivalo,Etuakselisto
2010,Renault,CLIO,20.8,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru
2010,Volkswagen,KOMBI,21.5,Ohjausnivelet ja -tangot,Renkaat ja vanteet,Käyttöjarru
2010,Dacia,LOGAN,21.6,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
2010,Ford,KA,23.4,Etuakselisto,Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
2010,Fiat,500,25.8,Etuakselisto,Käyttöjarrun dynamometritesti,Käyttöjarru
2010,Dodge,JOURNEY,32.0,Ohjausnivelet ja -tangot,Käyttöjarru,Seisontajarrun dynamometritesti
2009,* Kaikki yhteensä *,,8.0,,,
2009,Suzuki,SWIFT,0.0,,,
2009,Toyota,IQ,1.6,,,
2009,Suzuki,ALTO,1.9,,,
2009,Mitsubishi,COLT,2.3,,,
2009,Suzuki,GRAND VITARA,2.6,,,
2009,Audi,A5,2.8,,,
2009,Volkswagen,TIGUAN,2.9,Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus,Etuakselisto
2009,Volvo,XC60,3.0,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Taka-akselisto
2009,Toyota,AVENSIS,3.1,,,
2009,Toyota,AURIS,3.1,Seisontajarrun dynamometritesti,Käyttöjarru,Renkaat ja vanteet
2009,Audi,Q5,3.5,,,
2009,Toyota,VERSO,3.5,,,
2009,Volvo,C30,3.6,,,
2009,Honda,JAZZ,3.7,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2009,Honda,INSIGHT,3.8,,,
2009,Volkswagen,JETTA,3.8,,,
2009,Audi,A4,3.9,Renkaat ja vanteet,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
2009,Saab,9-5,4.0,,,
