,model_year,brand,model,checked_cars,fail_pct,driven_avg,driven_med,reason_1,reason_2,reason_3
1021,2009,Ford,TRANSIT,112,23.2,298000,281000,,,
1022,2009,Honda,ACCORD,865,10.4,175000,171000,Käyttöjarru,Etuakselisto,Käyttöjarrun dynamometritesti
1023,2009,Honda,CIVIC,871,10.33,114000,109000,Jousitus ja iskunvaimennus,Käyttöjarru,Renkaat ja vanteet
1024,2009,Honda,CR-V,1583,6.82,175000,169000,Käyttöjarru,Jousitus ja iskunvaimennus,
1025,2009,Honda,INSIGHT,185,9.73,114000,112000,Käyttöjarru,,
1026,2009,Honda,JAZZ,614,5.54,101000,98000,Käyttöjarru,,
1027,2009,Hyundai,GETZ,166,13.25,121000,112000,,,
1028,2009,Hyundai,I20,567,10.05,95000,91000,Käyttöjarru,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
1029,2009,Hyundai,SONATA,221,21.72,214000,205000,Seisontajarrun dynamometritesti,Käyttöjarru,Etuakselisto
1030,2009,Hyundai,i30,841,21.52,137000,130000,Taka-akselisto,Seisontajarrun dynamometritesti,Käyttöjarru
1031,2009,Jaguar,XF,131,11.45,144000,140000,,,
1032,2009,Kia,CEED,2100,19.48,137000,130000,Taka-akselisto,Käyttöjarru,Käyttöjarrun dynamometritesti
1033,2009,Kia,SPORTAGE,168,13.69,137000,131000,Etuakselisto,,
1034,2009,Lexus,RX450H,114,7.02,140000,138000,,,
1035,2009,Mazda,2,296,19.27,99000,96000,Etuakselisto,Ohjausnivelet ja -tangot,
1036,2009,Mazda,3,698,13.04,115000,111000,Etuakselisto,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
1037,2009,Mazda,5,176,28.98,152000,149000,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
1038,2009,Mazda,6,1502,13.05,154000,147000,Etuakselisto,Käyttöjarru,Käyttöjarrun dynamometritesti
1039,2009,Mercedes-Benz,A,444,10.36,100000,91000,Jousitus ja iskunvaimennus,,
1040,2009,Mercedes-Benz,B,333,19.22,140000,131000,Jousitus ja iskunvaimennus,Etuakselisto,Seisontajarrun dynamometritesti
1041,2009,Mercedes-Benz,C,2092,15.73,186000,179000,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru
1042,2009,Mercedes-Benz,E,2322,17.4,225000,198000,Jousitus ja iskunvaimennus,Etuakselisto,Seisontajarrun dynamometritesti
1043,2009,Mercedes-Benz,GLK,378,13.49,173000,170000,Etuakselisto,Jousitus ja iskunvaimennus,Taka-akselisto
1044,2009,Mercedes-Benz,M,135,20.73,188000,184000,Käyttöjarru,Jousitus ja iskunvaimennus,
1045,2009,Mercedes-Benz,S,108,12.04,170000,160000,,,
