,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3
243,2011,Citroen,C4,9.48,Etuakselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
244,2011,Peugeot,207,9.56,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
245,2011,Mercedes-Benz,GLK,9.56,Jousitus ja iskunvaimennus,Etuakselisto,Ohjausnivelet ja -tangot
246,2011,Seat,ALHAMBRA,9.7,,,
247,2011,Mercedes-Benz,M,9.74,,,
248,2011,Volkswagen,SHARAN,10.17,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet,Käyttöjarru
249,2011,Renault,MEGANE,10.44,Etuakselisto,Käyttöjarru,Ohjausnivelet ja -tangot
250,2011,Chevrolet,CRUZE,10.71,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Etuakselisto
251,2011,Peugeot,308,10.88,Etuakselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
252,2011,Ford,MONDEO,11.01,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot,Renkaat ja vanteet
253,2011,Peugeot,RCZ,11.18,,,
254,2011,BMW,5,11.23,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
255,2011,Mazda,5,11.95,,,
256,2011,Chevrolet,AVEO,12.2,Etuakselisto,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
257,2011,Peugeot,206,12.45,Ohjausnivelet ja -tangot,Taka-akselisto,Käyttöjarrun dynamometritesti
258,2011,Ford,S-MAX,13.16,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot,Renkaat ja vanteet
259,2011,Citroen,BERLINGO,13.69,,,
260,2011,Volvo,XC90,13.73,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Renkaat ja vanteet
261,2011,Chevrolet,ORLANDO,14.29,,,
262,2011,Kia,SPORTAGE,15.46,Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot,Taka-akselisto
263,2011,Citroen,C4 PICASSO,15.48,Etuakselisto,Ohjausnivelet ja -tangot,Renkaat ja vanteet
264,2011,Peugeot,3008,15.57,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
265,2011,Citroen,C5,15.61,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
266,2011,Hyundai,IX35,15.74,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
267,2011,Citroen,DS4,15.83,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
268,2011,Peugeot,5008,15.87,Etuakselisto,Renkaat ja vanteet,Jousitus ja iskunvaimennus
269,2011,Renault,TWINGO,17.48,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
270,2011,Ford,GALAXY,17.69,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Ohjausnivelet ja -tangot
271,2011,Dacia,DUSTER,18.2,Etuakselisto,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus
272,2011,Ford,TRANSIT,18.7,Ohjausnivelet ja -tangot,Etuakselisto,Jousitus ja iskunvaimennus
273,2011,Volkswagen,CARAVELLE,19.78,Ohjausnivelet ja -tangot,Turvavyöt ja -varusteet,Käyttöjarru
274,2011,Hyundai,SANTA FE,20.34,Seisontajarrun dynamometritesti,Etuakselisto,Jousitus ja iskunvaimennus
275,2011,Hyundai,I40,20.62,Ohjausnivelet ja -tangot,Etuakselisto,Taka-akselisto
276,2011,Kia,SORENTO,20.73,Etuakselisto,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
277,2011,Renault,CLIO,21.16,Etuakselisto,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti
278,2011,Volkswagen,KOMBI,22.58,Ohjausnivelet ja -tangot,Turvavyöt ja -varusteet,Käyttöjarru
279,2011,Fiat,500,22.62,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
280,2011,Ford,KA,25.6,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
281,2010,Audi,Q5,1.81,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Tuulilasi ja puhdistuslaitteet
282,2010,Toyota,AURIS,2.34,,,
283,2010,Toyota,COROLLA,2.4,,,
284,2010,Ford,FUSION,2.48,,,
285,2010,Volvo,C70,2.65,,,
286,2010,Honda,INSIGHT,2.74,,,
287,2010,Mazda,3,2.91,,,
288,2010,Audi,A4,2.95,,,
289,2010,Toyota,PRIUS,2.99,,,
290,2010,Volvo,C30,3.1,,,
291,2010,Saab,9-5,3.13,,,
